550 950 960 15 0   
550 950 640 10 0   
550 950 650 7 0   
550 950 520 7 0   
550 950 528 1 0   
550 950 528 1 0   
550 950 560 7 0   
550 950 500 10 -0.04   
550 950 120 5 0   
1850 950 960 15 -0.02   
1850 950 640 10 0   
1850 950 650 7 0   
1850 950 520 7 0   
1850 950 528 1 0   
1850 950 528 1 0   
1850 950 560 7 0   
1850 950 500 10 -0.12   
1850 950 120 5 0   
4300 950 960 15 -0.3   
4300 950 640 10 0   
4300 950 650 7 0   
4300 950 520 7 -0.01   
4300 950 528 1 0   
4300 950 528 1 0   
4300 950 560 7 -0.04   
4300 950 500 10 -0.7   
4300 950 120 5 0   
6900 950 960 15 -0.5   
6900 950 640 10 0   
6900 950 650 7 0   
6900 950 520 7 -0.03   
6900 950 528 1 0   
6900 950 528 1 0   
6900 950 560 7 -0.07   
6900 950 500 10 -0.9   
6900 950 120 5 0   
9500 950 960 15 -0.7   
9500 950 640 10 -0.1   
9500 950 650 7 0   
9500 950 520 7 -0.06   
9500 950 528 1 0   
9500 950 528 1 0   
9500 950 560 7 -0.09   
9500 950 500 10 -1.1   
9500 950 120 5 0   
550 1100 960 15 -0.02   
550 1100 640 10 -0.02   
550 1100 650 7 0   
550 1100 520 7 -0.05   
550 1100 528 1 -0.01   
550 1100 528 1 -0.01   
550 1100 560 7 0   
550 1100 500 10 -0.07   
550 1100 120 5 0.01   
1850 1100 960 15 -0.02   
1850 1100 640 10 -0.01   
1850 1100 650 7 0   
1850 1100 520 7 -0.02   
1850 1100 528 1 -0.02   
1850 1100 528 1 -0.02   
1850 1100 560 7 -0.01   
1850 1100 500 10 -0.12   
1850 1100 120 5 -0.04   
4300 1100 960 15 -0.85   
4300 1100 640 10 0   
4300 1100 650 7 0.02   
4300 1100 520 7 -0.01   
4300 1100 528 1 -0.02   
4300 1100 528 1 0.01   
4300 1100 560 7 -0.1   
4300 1100 500 10 -1.1   
4300 1100 120 5 -0.03   
6900 1100 960 15 -1   
6900 1100 640 10 0   
6900 1100 650 7 0.02   
6900 1100 520 7 -0.05   
6900 1100 528 1 -0.02   
6900 1100 528 1 0.01   
6900 1100 560 7 -0.1   
6900 1100 500 10 -1.1   
6900 1100 120 5 -0.03   
9500 1100 960 15 -1.36   
9500 1100 640 10 -0.2   
9500 1100 650 7 0.05   
9500 1100 520 7 -0.12   
9500 1100 528 1 -0.01   
9500 1100 528 1 0.02   
9500 1100 560 7 -0.15   
9500 1100 500 10 -1.4   
9500 1100 120 5 -0.01   
550 1200 960 15 -0.02   
